title,genre,year,rating,votes,director,duration_min,country,box_office_million
Memento,Horror,1987,7,2455764,Sam Raimi,128,Japan,2673.95
Get Out,Horror,1987,5.4,4325227,Tim Burton,194,UK,2627.39
The Incredibles,Animation,1999,5.2,644512,Martin Scorsese,159,Spain,1436.13
The Hunger Games,Romance,1980,5.3,224667,Quentin Tarantino,151,Japan,505.92
The Departed,Drama,1982,5,894958,Patty Jenkins,128,Canada,2296.21
Inglourious Basterds,Drama,1986,8.2,4574542,Greta Gerwig,179,Australia,112.21
Encanto,Drama,2008,6,772554,Tim Burton,118,USA,2371.27
Memento,Horror,2006,7.9,2861890,Peter Jackson,149,Germany,1873.07
Titanic,Horror,1981,7.8,3739031,Sam Raimi,86,India,361.56
Divergent,Comedy,2002,4.6,1748822,Robert Zemeckis,173,Spain,1065.02
Soul,Animation,2001,8,4151624,James Cameron,131,India,2235.43
The Ring,Thriller,2010,9.1,3585409,Sam Raimi,116,USA,2753.92
The Hunger Games,Animation,1985,7.2,4691836,Robert Zemeckis,109,Canada,1372.26
Toy Story,Fantasy,1986,7.5,1278103,Zack Snyder,161,Australia,2072.95
The Flash,Adventure,1994,6.7,3282314,Denis Villeneuve,163,Japan,1265.23
Encanto,Fantasy,1985,4.5,4361518,James Cameron,164,Germany,932.43
The Godfather,Drama,1983,5.3,1279829,Patty Jenkins,138,Japan,842.16
Forrest Gump,Adventure,1990,5.1,2885716,Tim Burton,184,South Korea,113.51
The Flash,Sci-Fi,1994,5.5,2345377,Peter Jackson,99,Japan,592.58
The Suicide Squad,Action,2019,7.7,3204627,Martin Scorsese,131,Japan,1742.66
Blue Beetle,Action,1998,5.4,4242725,Tim Burton,110,Canada,1027.28
Shrek,Horror,2018,6.2,1266552,Greta Gerwig,204,USA,520.4
Django Unchained,Action,1994,6.6,1046556,Ryan Coogler,186,Japan,2604.3
Spider-Man: No Way Home,Action,2016,4.8,324486,Sam Raimi,210,India,11.5
Frozen,Horror,2002,9.3,3931497,Peter Jackson,130,Japan,1571.4
Superman,Animation,1980,7.3,1005068,James Cameron,173,Japan,1251.91
The Incredibles,Action,1980,7.7,1194403,Tim Burton,154,France,1967.96
Interstellar,Comedy,1995,4.9,571535,Peter Jackson,170,USA,1640.31
Toy Story,Comedy,1994,7.2,3215388,Robert Zemeckis,129,Japan,1521.16
X-Men: Days of Future Past,Adventure,1993,6.1,4714571,Steven Spielberg,207,South Korea,848.54
The Social Network,Comedy,1981,8.1,665134,Peter Jackson,80,Canada,2677.1
Inglourious Basterds,Action,2008,8.1,2940910,Patty Jenkins,164,India,475.77
